S. No,University,Programme,Year of Entry,Decision Date,Decision,CGPA,GRE,TOEFL,Work Experience,Research Experience,Research Papers,Submitted Portfolio,Student Status,Class Size,THE Rank,QS Rank,Application Date
217,University of Maryland (College Park),MS HCI,2021,24-Mar-21,Accepted,3.6,319,114,0.5,No,0,Yes,I,35,90,152,
218,University of Maryland (College Park),MS HCI,2021,28-Feb-21,Accepted,3.75,320,114,1,Yes,1,Yes,I,35,90,152,
219,University of Maryland (College Park),MS HCI,2021,24-Mar-21,Accepted,3.85,317,107,2,Yes,0,Yes,I,35,90,152,
220,University of Maryland (College Park),MS HCI,2020,11-Mar-20,Accepted,3.4,317,105,0,No,0,Yes,I,35,90,152,
221,University of Maryland (College Park),MS HCI,2020,27-Feb-20,Accepted,3.4,321,NA,1,Yes,0,Yes,A,35,90,152,
222,University of Maryland (College Park),MS HCI,2020,25-Feb-20,Accepted,3.21,NA,NA,0,No,0,Yes,A,35,90,152,
223,University of Maryland (College Park),MS HCI,2020,27-Feb-20,Rejected,2.8,301,105,1.5,No,0,Yes,I,35,90,152,
224,University of Maryland (College Park),MS HCI,2020,25-Feb-20,Accepted,3.6,324,117,0.5,Yes,1,Yes,I,35,90,152,
225,University of Maryland (College Park),MS HCI,2020,01-Apr-20,Rejected,3,296,102,2.5,No,0,Yes,I,35,90,152,
226,University of Maryland (College Park),MS HCI,2020,25-Feb-20,Accepted,3.9,317,111,1,Yes,0,Yes,I,35,90,152,
227,University of Maryland (College Park),MS HCI,2020,25-Feb-20,Rejected,3.2,309,103,2,No,0,Yes,I,35,90,152,
228,University of Maryland (College Park),MS HCI,2020,25-Feb-20,Rejected,3.6,305,100,0.5,Yes,1,Yes,I,35,90,152,
229,University of Maryland (College Park),MS HCI,2020,25-Feb-20,Accepted,3.7,318,108,0,No,0,Yes,I,35,90,152,
230,University of Maryland (College Park),MS HCI,2019,21-Mar-19,Rejected,3.5,NA,NA,0,No,0,Yes,A,35,90,152,
231,University of Maryland (College Park),MS HCI,2019,14-Mar-19,Accepted,3.53,310,100,0.5,No,0,Yes,I,35,90,152,
232,University of Maryland (College Park),MS HCI,2019,14-Mar-19,Accepted,3.55,NA,NA,5,Yes,1,Yes,A,35,90,152,
233,Carnegie Mellon,MHCI,2021,18-Mar-21,Accepted,3.6,329,NA,1,No,0,Yes,A,60,28,51,Jan-15
234,Carnegie Mellon,MHCI,2021,18-Mar-21,Accepted,3.7,328,NA,3,No,0,Yes,A,60,28,51,Jan-15
235,Carnegie Mellon,MHCI,2021,23-Feb-21,Rejected,3.4,324,117,1,No,0,Yes,U,60,28,51,Jan-15
236,Carnegie Mellon,MHCI,2021,Pending,Rejected,3.22,325,NA,2,Yes,0,Yes,A,60,28,51,Jan-15
237,Carnegie Mellon,MHCI,2021,Pending,Accepted,3.82,325,115,2,Yes,0,Yes,U,60,28,51,15-Jan-21
238,Carnegie Mellon,MHCI,2021,19-Mar-21,Rejected,3.9,325,110,0,Yes,2,Yes,I,60,28,51,
239,Carnegie Mellon,MHCI,2021,19-Mar-21,Rejected,3.54,324,107,0.5,Yes,0,Yes,I,60,28,51,
240,Carnegie Mellon,MHCI,2021,19-Mar-21,Rejected,3.4,320,NA,0,Yes,0,Yes,A,60,28,51,
241,Carnegie Mellon,MHCI,2021,19-Mar-21,Rejected,3.7,324,105,0.5,No,0,Yes,I,60,28,51,
242,Carnegie Mellon,MHCI,2021,04-Mar-21,Accepted,3.86,320,NA,1,Yes,0,Yes,A,60,28,51,
243,Carnegie Mellon,MHCI,2021,24-Mar-21,Rejected,3.7,332,115,0,Yes,0,Yes,I,60,28,51,
244,Carnegie Mellon,MHCI,2021,04-Mar-21,Accepted,3.8,325,110,2,Yes,0,Yes,I,60,28,51,
245,Carnegie Mellon,MHCI,2020,13-Mar-20,Rejected,3.2,283,95,1.5,No,0,Yes,I,60,28,51,
246,Carnegie Mellon,MHCI,2020,13-Mar-20,Rejected,3.2,308,104,3.5,No,0,Yes,I,60,28,51,
247,Carnegie Mellon,MHCI,2020,13-Mar-20,Rejected,3.8,325,114,0.5,No,0,Yes,I,60,28,51,
248,Carnegie Mellon,MHCI,2020,04-Mar-20,Accepted,3.8,321,115,1.5,Yes,0,Yes,I,60,28,51,
249,Carnegie Mellon,MHCI,2020,04-Mar-20,Accepted,3.8,325,118,3,Yes,0,Yes,I,60,28,51,
250,Carnegie Mellon,MHCI,2020,13-Mar-20,Rejected,3.7,324,117,0.5,Yes,1,Yes,I,60,28,51,
251,Carnegie Mellon,MHCI,2020,04-Mar-20,Accepted,3.92,322,NA,2,Yes,0,Yes,A,60,28,51,
252,Carnegie Mellon,MHCI,2020,04-Mar-20,Accepted,3.7,324,NA,3,Yes,0,Yes,U,60,28,51,
253,Carnegie Mellon,MHCI,2020,04-Mar-20,Accepted,3.8,320,NA,4,No,0,Yes,A,60,28,51,
254,Carnegie Mellon,MHCI,2020,04-Mar-20,Accepted,3.8,325,NA,3,Yes,0,Yes,A,60,28,51,
255,Carnegie Mellon,MHCI,2020,04-Mar-20,Accepted,3.6,318,NA,1.5,Yes,0,Yes,A,60,28,51,
